;Price;Return
12/03/2021;69.699997;-0.05851258
15/03/2021;72.150002;0.034547038
16/03/2021;77;0.065058109
17/03/2021;76.790001;-0.002730985
18/03/2021;67.300003;-0.131914155
19/03/2021;70.5;0.046452429
22/03/2021;70;-0.007117468
23/03/2021;68;-0.028987537
24/03/2021;64.5;-0.052842481
25/03/2021;67.849998;0.050634133
26/03/2021;70.970001;0.04495791
29/03/2021;67.029999;-0.057117001
30/03/2021;65.169998;-0.028141056
31/03/2021;64.830002;-0.00523072
01/04/2021;67.339996;0.037985864
05/04/2021;70.760002;0.049539543
06/04/2021;71.32;0.007882895
07/04/2021;68.730003;-0.036990964
08/04/2021;70.760002;0.029108069
09/04/2021;71.830002;0.015008346
12/04/2021;75;0.04318587
13/04/2021;82.050003;0.089840741
14/04/2021;75.349998;-0.085184956
15/04/2021;79.660004;0.055623729
16/04/2021;75.849998;-0.049009949
19/04/2021;72;-0.05209156
20/04/2021;69.239998;-0.039087418
21/04/2021;71.760002;0.035748544
22/04/2021;69.849998;-0.026977189
23/04/2021;71.779999;0.027255815
26/04/2021;74.900002;0.042548045
27/04/2021;74.349998;-0.007370271
28/04/2021;75.639999;0.017201585
29/04/2021;76.120003;0.006325851
30/04/2021;74.550003;-0.020841
03/05/2021;71.080002;-0.04766405
04/05/2021;69.620003;-0.020754106
05/05/2021;66.589996;-0.044497569
06/05/2021;65.059998;-0.023244466
07/05/2021;67.900002;0.042726174
10/05/2021;64;-0.059152981
11/05/2021;77.650002;0.193328492
12/05/2021;75.529999;-0.02768166
13/05/2021;69.68;-0.080616583
14/05/2021;70.949997;0.018062029
17/05/2021;76.93;0.080920556
18/05/2021;74.989998;-0.025541173
19/05/2021;75.220001;0.003062422
20/05/2021;76.330002;0.014648906
21/05/2021;82.5;0.077732221
24/05/2021;89.230003;0.078419046
25/05/2021;89.32;0.001008087
26/05/2021;89.709999;0.004356807
27/05/2021;97.470001;0.082962414
28/05/2021;93.769997;-0.038699705
01/06/2021;96.889999;0.032731361
02/06/2021;99.860001;0.030192911
03/06/2021;96.5;-0.034226207
04/06/2021;99.57;0.031317906
07/06/2021;93.440002;-0.063541374
08/06/2021;91.410004;-0.021964615
09/06/2021;91.040001;-0.004055944
10/06/2021;91;-0.000439475
11/06/2021;92.82;0.019802627
14/06/2021;87.800003;-0.055600599
15/06/2021;89.800003;0.022523474
16/06/2021;82.589996;-0.083696449
17/06/2021;82.980003;0.004711092
18/06/2021;81.139999;-0.022423606
21/06/2021;82.510002;0.016743477
22/06/2021;82.440002;-0.000848742
23/06/2021;84.860001;0.028932071
24/06/2021;87.339996;0.028805651
25/06/2021;87;-0.003900384
28/06/2021;93.040001;0.0671214
29/06/2021;92.599998;-0.004740399
30/06/2021;89.980003;-0.028701663
01/07/2021;85.82;-0.047335377
02/07/2021;86.199997;0.004418063
06/07/2021;86.980003;0.009008099
07/07/2021;86.400002;-0.006690543
08/07/2021;86.879997;0.005540123
09/07/2021;86.260002;-0.007161807
12/07/2021;86.540001;0.003240732
13/07/2021;84.019997;-0.029551916
14/07/2021;79.169998;-0.059457416
15/07/2021;77.279999;-0.024162237
16/07/2021;77.559998;0.003616628
19/07/2021;79.239998;0.021429392
20/07/2021;79.860001;0.007793918
21/07/2021;79.910004;0.000625937
22/07/2021;82.029999;0.02618397
23/07/2021;81.830002;-0.002441073
26/07/2021;77.629997;-0.052690037
27/07/2021;76.190002;-0.018723665
28/07/2021;79.129997;0.037861785
29/07/2021;76.849998;-0.029236588
30/07/2021;76.980003;0.001690243
02/08/2021;78.309998;0.017129596
03/08/2021;77.489998;-0.010526413
04/08/2021;81.650002;0.052292974
05/08/2021;80.57;-0.013315472
06/08/2021;77.919998;-0.033443738
09/08/2021;85.510002;0.092950718
10/08/2021;85.080002;-0.005041338
11/08/2021;84.690002;-0.004594459
12/08/2021;82.650002;-0.024382706
13/08/2021;83.959999;0.015725635
16/08/2021;79.57;-0.053703346
17/08/2021;78.68;-0.011248144
18/08/2021;83.459999;0.05897847
19/08/2021;81.349998;-0.025606654
20/08/2021;82.769997;0.017304832
23/08/2021;85.059998;0.027291226
24/08/2021;89.260002;0.048196615
25/08/2021;90.339996;0.012026804
26/08/2021;85.809998;-0.051444759
27/08/2021;85.400002;-0.004789402
30/08/2021;81.870003;-0.042213464
31/08/2021;82.050003;0.002196194
01/09/2021;84.449997;0.028830754
02/09/2021;84.599998;0.001774635
03/09/2021;82.870003;-0.020661092
07/09/2021;84.970001;0.025025114
08/09/2021;83.510002;-0.017331856
09/09/2021;86.349998;0.033442372
10/09/2021;87.879997;0.017563432
13/09/2021;84.650002;-0.037447081
14/09/2021;82.330002;-0.027789547
15/09/2021;82.150002;-0.002188717
16/09/2021;81.419998;-0.00892595
17/09/2021;80.809998;-0.007520223
20/09/2021;77.769997;-0.038344981
21/09/2021;78.849998;0.013791574
22/09/2021;81.18;0.029121623
23/09/2021;82.279999;0.013459141
24/09/2021;83.220001;0.011359663
27/09/2021;79.989998;-0.039586114
28/09/2021;77.050003;-0.037447001
29/09/2021;76.309998;-0.009650636
30/09/2021;75.550003;-0.010009237
01/10/2021;75.589996;0.000529218
04/10/2021;77.800003;0.028817523
05/10/2021;72.57;-0.069589856
06/10/2021;73.699997;0.015451145
07/10/2021;74.800003;0.014815167
08/10/2021;70.440002;-0.060056613
11/10/2021;70.220001;-0.003128127
12/10/2021;71.900002;0.023643108
13/10/2021;74.779999;0.039274164
